# openproj CI durations after the template cache, measured not estimated
#
# Run:     https://github.com/jcanton/openproj/actions/runs/32633361097
# Job:     check, ubuntu-latest, 2026-08-23T10:17:44Z -> 2026-08-23T10:29:52Z (728s)
# Commit:  d979881 on branch ci-speed (PR #72) — the same tree as the run in
#          ci-durations.txt plus the template-compilation cache in render.py and
#          the one regex in test_render.py.
# Command: uv run pytest -q --durations=0 --durations-min=0.05
# Result:  1687 passed, 5 warnings in 711.04s (0:11:51), against 1392.75s before.
#
# The runner, from the probe step in the same job:
#   nproc            2
#   free -m          Mem: 7942 total, 6821 available; Swap: 3071
#   df -h /dev/shm   tmpfs 3.9G
#   google-chrome    151.0.7922.137
# So `ubuntu-latest` on this PRIVATE repository is the 2-core / 8 GB box, not the
# 4-core / 16 GB one public repositories get. `-n auto` here means `-n 2`.
#
# Per-step wall clock from the jobs API (seconds):
#   Set up job 1, checkout 1, setup-uv 3, setup-node 0, uv sync 1, probe 2,
#   ruff 0, pytest 713, post steps 1. Nine seconds is still not pytest.
#
# The table below is verbatim from the run log, timestamps stripped. 732 rows
# summing to 675.79s of the 711.04s pytest reported.
#
# Phase split of those 732 rows: setup 59.26s, call 600.60s, teardown 15.93s.
# Setup was 519.23s before; 460s of it was compiling templates.
1.97s call     tests/test_editor.py::test_a_stored_legacy_view_mode_opens_the_next_session_in_edit
1.96s call     tests/test_seats.py::test_somebody_elses_keystroke_leaves_the_numbers_counting_the_document_there_is_now
1.95s call     tests/test_card.py::test_the_document_is_drawn_under_the_fields
1.94s call     tests/test_status_gate.py::test_giving_up_on_the_question_changes_nothing
1.94s call     tests/test_seats.py::test_this_tab_says_where_it_is_sitting
1.94s call     tests/test_editor.py::test_the_history_buttons_use_the_browsers_own_stack_when_there_is_no_room
1.94s call     tests/test_seats.py::test_two_people_get_two_colours_and_two_places
1.94s call     tests/test_editor.py::test_the_join_between_the_panes_moves_for_the_keyboard_too
1.93s call     tests/test_status_gate.py::test_a_row_that_has_what_the_status_wants_is_not_asked
1.93s call     tests/test_editor.py::test_the_status_bar_says_where_the_caret_is_how_long_it_is_and_what_tab_types
1.93s call     tests/test_editor.py::test_the_facts_column_does_not_move_when_the_join_between_the_panes_does
1.93s call     tests/test_editor.py::test_escape_still_arms_the_tab_hatch_where_the_box_is_on_the_page
1.92s call     tests/test_editor.py::test_the_full_page_surface_is_a_writing_surface_at_a_window_that_is_not_wide[detail]
1.92s call     tests/test_card.py::test_a_pointer_passing_over_a_row_does_not_open_a_card
1.91s call     tests/test_payload.py::test_a_size_somebody_hand_edited_does_not_empty_the_table[.inf]
1.91s call     tests/test_injection.py::test_no_marker_string_reaches_a_static_page_as_anything_but_text
1.91s call     tests/test_editor.py::test_cancel_leaves_the_surface_it_was_pressed_in
1.90s call     tests/test_editor.py::test_choosing_a_template_leaves_the_numbers_and_the_length_telling_the_truth
1.87s call     tests/test_table.py::test_a_drop_on_a_dead_connection_takes_its_own_sentence_back_down
1.87s call     tests/test_editor.py::test_a_preview_that_fails_says_so_and_never_writes_the_word_undefined
1.87s call     tests/test_coedit.py::test_an_edit_across_an_emoji_reaches_the_room_through_the_adapter[\U0001f600\U0001f601 ok\n-\U0001f601 ok\n]
1.86s call     tests/test_status_gate.py::test_a_status_that_needs_a_date_asks_for_it
1.86s call     tests/test_editor.py::test_there_is_no_handle_where_there_is_nothing_to_divide[700]
1.84s call     tests/test_seats.py::test_a_reader_holds_no_seat
1.84s call     tests/test_editor.py::test_the_split_a_reader_chose_is_there_the_next_time[400-False]
1.83s call     tests/test_payload.py::test_a_size_somebody_hand_edited_does_not_empty_the_table[-.inf]
1.82s call     tests/test_deck.py::test_the_plan_a_slide_falls_back_to_is_cut_to_the_sheet_and_says_so
1.81s call     tests/test_editor.py::test_there_is_no_handle_where_there_is_nothing_to_divide[934]
1.79s call     tests/test_coedit.py::test_an_edit_across_an_emoji_reaches_the_room_through_the_adapter[\U0001f1e9\U0001f1ea\n-\U0001f1e9\U0001f1eb\n]
1.77s call     tests/test_coedit.py::test_a_carriage_return_in_a_room_is_a_thing_the_box_cannot_hold
1.76s call     tests/test_table.py::test_the_header_and_the_frozen_pair_hold_when_the_rows_are_tall
1.73s call     tests/test_table.py::test_a_row_that_names_no_reviewer_shows_the_ones_under_it
1.72s call     tests/test_facets.py::test_an_open_menu_is_not_painted_over[timeline]
1.71s call     tests/test_facets.py::test_the_people_page_honours_both_values_too
1.68s call     tests/test_render.py::test_a_sentence_about_the_view_never_costs_the_view_a_row[timeline]
1.63s call     tests/test_search.py::test_a_word_only_in_a_shaping_document_is_not_a_match
1.59s call     tests/test_records.py::test_the_landing_box_and_the_server_find_the_same_records
1.58s call     tests/test_coedit.py::test_a_real_browser_opens_the_socket_under_this_policy_and_draws_the_room
1.56s call     tests/test_cascade.py::test_every_control_on_every_page_is_drawn_the_same[timeline]
1.56s call     tests/test_coedit.py::test_a_restored_draft_survives_the_welcome_and_is_offered_to_the_room
